AL MVPs  
First Last Name  
-------------
Mike Trout  
Mookie Betts  
Jose Altuve  
Mike Trout  
Josh Donaldson  
Mike Trout  
Miguel Cabrera  
Miguel Cabrera  
Justin Verlander  
Josh Hamilton  
Joe Mauer  
Dustin Pedroia  
Alex Rodriguez  
Justin Morneau  
Alex Rodriguez  
Vladimir Guerrero  
Alex Rodriguez  
Miguel Tejada  
Ichiro Suzuki  
Jason Giambi  
Iván Rodríguez  
Juan Gonzalez  
Ken Griffey  
Juan Gonzalez  
Mo Vaughn  
Frank Thomas  
Frank Thomas  
Dennis Eckersley  
Cal Ripken  
Rickey Henderson
